0.00,30.00,24.00,0.00,NW,37.00,1012.90,0
0.00,21.80,48.00,8.00,E,24.00,1016.60,0
0.00,33.20,24.00,0.00,WNW,17.00,1008.60,0
0.20,19.40,37.00,2.00,E,13.00,1019.90,0
1.40,7.90,69.00,8.00,NW,26.00,1008.70,0
0.00,14.90,49.00,0.00,NNW,28.00,1020.50,0
0.00,29.30,19.00,2.00,WSW,20.00,1014.10,0
0.00,27.20,38.00,0.00,NNW,7.00,1012.30,0
0.00,12.30,28.00,0.00,NNW,13.00,1017.70,0
0.00,24.80,39.00,2.00,NNE,13.00,1017.50,0
0.00,25.60,39.00,2.00,NW,9.00,1019.40,0
0.40,15.60,21.00,0.00,NNW,17.00,1023.70,0
0.00,23.00,56.00,2.00,NNE,20.00,1013.40,0
0.00,15.80,48.00,6.00,WNW,28.00,1006.50,0
0.20,19.40,37.00,2.00,E,13.00,1019.90,0
0.20,29.60,43.00,1.00,WNW,19.00,1009.20,0
0.00,27.80,32.00,0.00,WNW,19.00,1014.70,0
0.00,19.10,29.00,0.00,NNW,11.00,1029.30,0
12.80,22.60,44.00,8.00,WNW,35.00,1008.90,0
0.00,10.40,54.00,0.00,WNW,31.00,1015.70,0
0.00,18.60,46.00,6.00,E,20.00,1023.90,0
0.00,16.70,46.00,0.00,N,13.00,1020.40,0
0.00,16.70,26.00,0.00,W,24.00,1016.30,0
0.00,27.30,12.00,0.00,W,13.00,1015.80,0
0.00,22.60,42.00,0.00,NNE,13.00,1020.50,0
0.00,26.10,15.00,0.00,NNW,35.00,1014.20,0
0.00,24.60,43.00,0.00,SSE,30.00,1013.70,0
0.40,22.20,44.00,4.00,ENE,24.00,1022.00,0
2.40,12.00,32.00,0.00,SSW,15.00,1019.90,0
0.00,24.80,39.00,2.00,NNE,13.00,1017.50,0
0.00,9.50,50.00,0.00,NNW,20.00,1014.90,0
1.40,11.40,71.00,8.00,ESE,26.00,1028.30,0
0.00,17.30,30.00,0.00,WNW,6.00,1024.70,0
0.00,23.30,28.00,0.00,NW,24.00,1019.70,0
0.00,24.80,16.00,0.00,NW,24.00,1012.10,0
0.00,12.30,38.00,4.00,N,9.00,1015.30,0
0.00,28.10,23.00,0.00,WNW,33.00,1008.80,0
64.40,21.00,57.00,8.00,E,28.00,1013.80,0
12.80,22.60,44.00,8.00,WNW,35.00,1008.90,0
0.00,27.80,32.00,0.00,WNW,19.00,1014.70,0
0.00,28.80,31.00,0.00,NW,20.00,1015.40,0
0.20,22.10,42.00,8.00,NNE,13.00,1021.10,0
0.00,25.70,24.00,0.00,NW,9.00,1013.60,0
0.20,29.60,43.00,1.00,WNW,19.00,1009.20,0
0.00,13.60,57.00,8.00,SE,7.00,1021.80,0
0.00,18.40,40.00,4.00,NNW,19.00,1016.80,0
1.40,14.40,47.00,0.00,ESE,17.00,1026.30,0
0.00,28.10,30.00,1.00,N,9.00,1008.20,0
0.00,14.70,38.00,0.00,WNW,11.00,1026.20,0
0.00,23.00,47.00,0.00,NW,13.00,1018.20,0
0.00,32.40,14.00,0.00,NW,19.00,1009.10,0
0.00,30.00,24.00,0.00,NW,37.00,1012.90,0
0.00,13.20,39.00,0.00,SE,11.00,1022.10,0
0.00,17.30,53.00,8.00,NNW,30.00,1011.20,0
0.00,18.60,39.00,0.00,E,15.00,1022.90,0
0.00,17.30,53.00,8.00,NNW,30.00,1011.20,0
1.40,11.40,71.00,8.00,ESE,26.00,1028.30,0
0.00,32.40,31.00,1.00,NNW,20.00,1013.10,0
0.00,25.60,32.00,0.00,NNW,13.00,1016.60,0
13.80,11.60,52.00,5.00,WNW,22.00,1016.10,0
0.00,17.60,34.00,0.00,NNW,17.00,1016.90,0
0.00,29.80,14.00,0.00,NNW,39.00,1001.70,0
0.00,18.20,64.00,8.00,SW,9.00,1021.50,0
0.00,28.10,30.00,1.00,N,9.00,1008.20,0
0.00,11.30,50.00,0.00,N,17.00,1027.90,0
0.00,10.70,52.00,0.00,WNW,37.00,1012.50,0
0.00,12.90,37.00,0.00,SSW,20.00,1026.60,0
0.00,30.50,23.00,0.00,W,19.00,1011.20,0
